payment_installments,payment_records,average_payment,median_payment
0,2,94.315,94.315
1,52546,112.42022913256956,73.34
2,12413,127.22815032627085,109.42
3,10461,142.53931746486953,110.42
4,7098,163.9768399549169,117.17500000000001
5,5239,183.46522237068143,125.97
6,3920,209.84995153061226,138.55
7,1626,187.67367158671587,140.075
8,4268,307.737427366448,212.695
9,644,203.44086956521738,99.92
10,5328,415.08583708708704,239.74
11,23,124.93217391304348,116.51
12,133,321.6784962406015,198.41
13,16,150.4625,136.20499999999998
14,15,167.96266666666668,147.07
15,74,445.5531081081081,255.85000000000002
16,5,292.694,167.37
17,8,174.6025,175.1
18,27,486.4833333333333,335.89
20,17,615.8017647058823,458.31
21,3,243.69999999999996,216.05
22,1,228.71,228.71
23,1,236.48,236.48
24,18,610.0488888888889,593.88
