,customers,sellers,customer_share_pct,seller_share_pct
SP,41746,1849.0,41.980671956235355,59.741518578352185
RJ,12852,171.0,12.924246538148248,5.525040387722132
MG,11635,244.0,11.700405265433774,7.883683360258481
RS,5466,129.0,5.496726702265665,4.168012924071082
PR,5045,349.0,5.073360082863205,11.276252019386106
SC,3637,190.0,3.657445118210798,6.138933764135703
BA,3380,19.0,3.399000412304784,0.6138933764135702
DF,2140,30.0,2.1520298468438575,0.9693053311793215
ES,2033,23.0,2.0444283545016644,0.7431340872374798
GO,2020,40.0,2.0313552759927997,1.2924071082390953
PE,1652,9.0,1.661286592049557,0.29079159935379645
CE,1336,13.0,1.3435102221417725,0.420032310177706
PA,975,1.0,0.9804808881648414,0.03231017770597738
MT,907,4.0,0.9120986313492422,0.12924071082390953
MA,747,1.0,0.7511992035478323,0.03231017770597738
MS,715,5.0,0.7190193179875505,0.16155088852988692
PB,536,6.0,0.5390130831347232,0.1938610662358643
PI,495,1.0,0.4977826047606118,0.03231017770597738
RN,485,5.0,0.4877263905230237,0.16155088852988692
AL,413,0.0,0.41532164801238924,0.0
SE,350,2.0,0.3519674983155841,0.06462035541195477
TO,280,0.0,0.2815739986524673,0.0
RO,253,2.0,0.2544222202109794,0.06462035541195477
AM,148,1.0,0.14883197071630413,0.03231017770597738
AC,81,1.0,0.08145533532446375,0.03231017770597738
AP,68,0.0,0.0683822568155992,0.0
RR,46,0.0,0.04625858549290534,0.0
